"Collection Name","Content Note","Title#1","Title Type#1","Name#1","Name Role#1","Name URI#1","Name#2","Name Role#2","Name URI#2","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Genre#3","Genre URI#3","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Date Captured#1","Frequency#1","Language Term#1","Language Term URI#1","Form#1","Form URI#1","Extent#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Physical Description Note#1","Form#2","Form URI#2","Abstract#1","Note#1","Note#2","Note#3","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Geographic#4","Subject Geographic URI#4","Subject Geographic#5","Subject Geographic URI#5","Subject Geographic#6","Subject Geographic URI#6","Local Identifier#1","Persistent Identifier#1","Physical Location#1","Shelf Locator#1","Related Item Title#1","Related Item Type#1","Related Item Identifier#1","Related Item Title#2","Related Item Type#2","Related Item Identifier#2","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Panoramic Photography from Fire Towers on Colorado National Lands","","A 40 acre field protected by a well planned system of windbreaks","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1942-06-03","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 39 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph depicting a man standing in a forty-acre field, lined with windbreaks in Pierce, Nebraska.","Photograph does not have horizontal degree labels.","","","Windbreaks, shelterbelts, etc.","http://id.loc.gov/authorities/subjects/sh85146914","Hedgerow ecology","http://id.loc.gov/authorities/subjects/sh85059911","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Pierce (Pierce, Nebraska, United States, North America) (populated place)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/832093","","","","","","","","","","","maps_coFiretowerPanoramas_MB01_d.jpg","https://doi.org/10.60807/o730k8","Jerry Crail Johnson Earth Sciences & Map Library","MB.01; Negative No. A","","","","","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","8","1255935","5560","maps_coFiretowerPanoramas_MB01_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~8~1255935"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Bessey Nursery, block V","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1942-11-06","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 38.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken near Bessey Nursery in the Nebraska National Forest. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Photograph does not have horizontal degree labels.","","","Nurseries (Horticulture)","http://id.loc.gov/authorities/subjects/sh85093320","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Nebraska National Forest (Dawes, Nebraska, United States, North America) (forest)","https://www.geonames.org/5697829/nebraska-national-forest.html","Bessey Nursery (Halsey, Nebraska, United States, North America)","local","","","","","","","","","maps_coFiretowerPanoramas_MB12_d.jpg","https://doi.org/10.60807/dvlfjb","Jerry Crail Johnson Earth Sciences & Map Library","MB.12; Negative No. D","","","","","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","19","1255924","5560","maps_coFiretowerPanoramas_MB12_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~19~1255924"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Blackhall Mountain lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-08-06","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 36.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Blackhall Mountain in Wyoming. The panorama depicts an area around Medicine Bow National Forest. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 180º – 300º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from Blackhall Mountain.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Blackhall Mountain (Carbon, Wyoming, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1598223","Medicine Bow National Forest (Albany, Wyoming, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2504717","","","","","","","","","maps_coFiretowerPanoramas_MC01_d.jpg","https://doi.org/10.60807/1b3h3e","Jerry Crail Johnson Earth Sciences & Map Library","MC.01; Negative No. 19","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC02_d.pdf","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","24","1255919","5560","maps_coFiretowerPanoramas_MC01_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~24~1255919"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Blackhall Mountain lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-08-06","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 37 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Blackhall Mountain in Wyoming. The panorama depicts an area around Medicine Bow National Forest. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 300º – 60º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from Blackhall Mountain.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Blackhall Mountain (Carbon, Wyoming, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1598223","Medicine Bow National Forest (Albany, Wyoming, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2504717","","","","","","","","","maps_coFiretowerPanoramas_MC02_d.jpg","https://doi.org/10.60807/6zu5z1","Jerry Crail Johnson Earth Sciences & Map Library","MC.02; Negative No. 20","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC01_d.pdf","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","25","1255918","5560","maps_coFiretowerPanoramas_MC02_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~25~1255918"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Blackhall Mountain lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-08-06","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 37.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Blackhall Mountain in Wyoming. The panorama depicts an area around Medicine Bow National Forest. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 60º – 180º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from Blackhall Mountain.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Blackhall Mountain (Carbon, Wyoming, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1598223","Medicine Bow National Forest (Albany, Wyoming, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2504717","","","","","","","","","maps_coFiretowerPanoramas_MC03_d.jpg","https://doi.org/10.60807/c6oz23","Jerry Crail Johnson Earth Sciences & Map Library","MC.03; Negative No. 21","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC01_d.pdf","Blackhall Mountain lookout","constituent","maps_coFiretowerPanoramas_MC02_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","26","1255917","5560","maps_coFiretowerPanoramas_MC03_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~26~1255917"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Boulder Hill lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-09-29","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 37.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Boulder Hill in South Dakota. The photograph depicts an area of ""Harney National Forest"" which was later added to the Black Hills National Forest on July 1st, 1954. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 300º – 60º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from the Boulder Hill lookout.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Boulder Hill (Pennington, South Dakota, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1261326","Black Hills National Forest (South Dakota, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2176252","","","","","","","","","maps_coFiretowerPanoramas_MF01_d.jpg","https://doi.org/10.60807/58c83u","Jerry Crail Johnson Earth Sciences & Map Library","MF.01; Negative No. 54","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF02_d.pdf","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","74","1255869","5560","maps_coFiretowerPanoramas_MF01_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~74~1255869"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Boulder Hill lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-09-29","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 38 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Boulder Hill in South Dakota. The photograph depicts an area of ""Harney National Forest"" which was later added to the Black Hills National Forest on July 1st, 1954. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 180º – 300º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from the Boulder Hill lookout.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Boulder Hill (Pennington, South Dakota, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1261326","Black Hills National Forest (South Dakota, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2176252","","","","","","","","","maps_coFiretowerPanoramas_MF02_d.jpg","https://doi.org/10.60807/qwp7vf","Jerry Crail Johnson Earth Sciences & Map Library","MF.02; Negative No. 55","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF01_d.pdf","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","75","1255868","5560","maps_coFiretowerPanoramas_MF02_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~75~1255868"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Boulder Hill lookout","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1941-09-29","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 37.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Boulder Hill in South Dakota. The photograph depicts an area of ""Harney National Forest"" which was later added to the Black Hills National Forest on July 1st, 1954. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 60º – 180º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from the Boulder Hill lookout.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Boulder Hill (Pennington, South Dakota, United States, North America) (summit)","https://edits.nationalmap.gov/apps/gaz-domestic/public/gaz-record/1261326","Black Hills National Forest (South Dakota, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2176252","","","","","","","","","maps_coFiretowerPanoramas_MF03_d.jpg","https://doi.org/10.60807/pg23jb","Jerry Crail Johnson Earth Sciences & Map Library","MF.03; Negative No. 56","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF01_d.pdf","Boulder Hill lookout","constituent","maps_coFiretowerPanoramas_MF02_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","76","1255867","5560","maps_coFiretowerPanoramas_MF03_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~76~1255867"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Britania Mountain lookout point","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1942-09-16","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 38.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Britania Mountain in Wyoming. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 300º – 60º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from Britania Mountain.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Medicine Bow National Forest (Albany, Wyoming, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2504717","Britania Mountain (Albany, Wyoming, United States, North America) (peak)","http://vocab.getty.edu/page/tgn/2195411","","","","","","","","","maps_coFiretowerPanoramas_MD01_d.jpg","https://doi.org/10.60807/p5gok7","Jerry Crail Johnson Earth Sciences & Map Library","MD.01; Negative No. 191","Britania Mountain lookout point","constituent","maps_coFiretowerPanoramas_MD02_d.pdf","Britania Mountain lookout point","constituent","maps_coFiretowerPanoramas_MD03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","44","1255899","5560","maps_coFiretowerPanoramas_MD01_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~44~1255899"
"Panoramic Photography from Fire Towers on Colorado National Lands","","Britania Mountain lookout point","Proper","National Forest System (U.S.)","compiler","http://id.loc.gov/authorities/names/n79054932","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","panoramic photography","http://vocab.getty.edu/page/aat/300387602","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","1942-09-16","2026","1 copy","English","http://id.loc.gov/vocabulary/iso639-2/eng","black-and-white negatives","http://vocab.getty.edu/page/aat/300128343","1 photograph : panorama ; 15 x 37.5 cm","image/jpeg","local","reformatted digital","","","","Panoramic photograph taken from a lookout site at Britania Mountain in Wyoming. This photograph was captured to serve the needs of wildfire mitigation procedures undertaken by the United States Forest Service.","Panoramic photograph showing approximately 180º – 300º azimuth.","This photograph is 1 out of 3 related photographs. When combined, all three panoramas approximately depict a 360º view from Britania Mountain.","","Fire lookout stations","http://id.loc.gov/authorities/subjects/sh85048504","Forest fires--Prevention and control","http://id.loc.gov/authorities/subjects/sh85050584","Forest management","http://id.loc.gov/authorities/subjects/sh85050603","","","","","","","Medicine Bow National Forest (Albany, Wyoming, United States, North America) (forest)","http://vocab.getty.edu/page/tgn/2504717","Britania Mountain (Albany, Wyoming, United States, North America) (peak)","http://vocab.getty.edu/page/tgn/2195411","","","","","","","","","maps_coFiretowerPanoramas_MD02_d.jpg","https://doi.org/10.60807/4c16xp","Jerry Crail Johnson Earth Sciences & Map Library","MD.02; Negative No. 192","Britania Mountain lookout point","constituent","maps_coFiretowerPanoramas_MD01_d.pdf","Britania Mountain lookout point","constituent","maps_coFiretowerPanoramas_MD03_d.pdf","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","https://rightsstatements.org/page/NoC-US/1.0/?language=en","45","1255898","5560","maps_coFiretowerPanoramas_MD02_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~60~60~45~1255898"
